province	city_name	city_level
四川省	眉山市	四线城市
内蒙古自治区	赤峰市	四线城市
湖北省	咸宁市	四线城市
广西壮族自治区	防城港市	五线城市
云南省	玉溪市	五线城市
内蒙古自治区	呼伦贝尔市	五线城市
云南省	普洱市	五线城市
辽宁省	葫芦岛市	五线城市
云南省	楚雄彝族自治州	五线城市
河北省	衡水市	五线城市
辽宁省	抚顺市	五线城市
广西壮族自治区	钦州市	五线城市
吉林省	四平市	五线城市
陕西省	汉中市	五线城市
贵州省	黔西南布依族苗族自治州	五线城市
四川省	内江市	五线城市
湖南省	湘西土家族苗族自治州	五线城市
河南省	漯河市	五线城市
江西省	新余市	五线城市
陕西省	延安市	五线城市
山西省	长治市	五线城市
云南省	文山壮族苗族自治州	五线城市
广东省	云浮市	五线城市
广西壮族自治区	贵港市	五线城市
云南省	昭通市	五线城市
广西壮族自治区	河池市	五线城市
四川省	达州市	五线城市
安徽省	淮北市	五线城市
河南省	濮阳市	五线城市
吉林省	通化市	五线城市
吉林省	松原市	五线城市
内蒙古自治区	通辽市	五线城市
四川省	广元市	五线城市
湖北省	鄂州市	五线城市
四川省	凉山彝族自治州	五线城市
湖南省	张家界市	五线城市
湖北省	荆门市	五线城市
广西壮族自治区	来宾市	五线城市
山西省	忻州市	五线城市
新疆维吾尔自治区	克拉玛依市	五线城市
四川省	遂宁市	五线城市
辽宁省	朝阳市	五线城市
广西壮族自治区	崇左市	五线城市
辽宁省	辽阳市	五线城市
四川省	广安市	五线城市
江西省	萍乡市	五线城市
辽宁省	阜新市	五线城市
山西省	吕梁市	五线城市
安徽省	池州市	五线城市
广西壮族自治区	贺州市	五线城市
辽宁省	本溪市	五线城市
辽宁省	铁岭市	五线城市
四川省	自贡市	五线城市
内蒙古自治区	锡林郭勒盟	五线城市
吉林省	白城市	五线城市
吉林省	白山市	五线城市
四川省	雅安市	五线城市
甘肃省	酒泉市	五线城市
甘肃省	天水市	五线城市
山西省	晋城市	五线城市
内蒙古自治区	巴彦淖尔市	五线城市
湖北省	随州市	五线城市
内蒙古自治区	兴安盟	五线城市
云南省	临沧市	五线城市
黑龙江省	鸡西市	五线城市
云南省	迪庆藏族自治州	五线城市
四川省	攀枝花、阿坝藏族羌族自治州	五线城市
河南省	鹤壁市	五线城市
黑龙江省	黑河市	五线城市
黑龙江省	双鸭山市	五线城市
河南省	三门峡市	五线城市
陕西省	安康市	五线城市
内蒙古自治区	乌兰察布市	五线城市
甘肃省	庆阳市	五线城市
新疆维吾尔自治区	伊犁哈萨克自治州	五线城市
海南省	儋州市	五线城市
新疆维吾尔自治区	哈密市	五线城市
青海省	海西蒙古族藏族自治州	五线城市
